Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
202,1 6 22 83,4,3.12438,224,808
202,1 6 42 93,4,3.12438,284,808
202,1 6 44 59,4,3.12438,220,808
202,1 7 26 83,4,3.12438,234,808
202,1 7 34 57,4,3.12438,198,808
202,1 7 37 62,4,3.12438,214,808
202,1 7 40 92,4,3.12438,280,808
202,1 7 41 92,4,3.12438,282,808
202,1 8 20 84,4,3.12438,226,808
202,1 8 30 95,4,3.12438,268,808
202,1 8 46 87,4,3.12438,284,808
202,1 9 32 77,4,3.12438,238,808
202,1 9 44 94,4,3.12438,296,808
202,1 9 58 82,4,3.12438,300,808
202,1 10 34 73,4,3.12438,236,808
202,1 11 28 70,4,3.12438,220,808
202,1 12 30 69,4,3.12438,224,808
202,1 12 33 40,4,3.12438,172,808
202,1 12 33 61,4,3.12438,214,808
202,1 12 40 45,4,3.12438,196,808
202,1 12 44 62,4,3.12438,238,808
202,1 12 53 58,4,3.12438,248,808
202,1 12 53 61,4,3.12438,254,808
202,1 12 53 91,4,3.12438,314,808
202,1 12 55 76,4,3.12438,288,808
202,1 12 78 86,4,3.12438,354,808
202,1 13 18 60,4,3.12438,184,808
202,1 13 21 66,4,3.12438,202,808
202,1 13 34 92,4,3.12438,280,808
202,1 13 74 97,4,3.12438,370,808
202,1 14 19 64,4,3.12438,196,808
202,1 14 22 85,4,3.12438,244,808
202,1 15 42 64,4,3.12438,244,808
202,1 15 74 80,4,3.12438,340,808
202,1 16 21 87,4,3.12438,250,808
202,1 16 37 87,4,3.12438,282,808
202,1 16 45 54,4,3.12438,232,808
202,1 17 29 54,4,3.12438,202,808
202,1 17 39 88,4,3.12438,290,808
202,1 17 47 72,4,3.12438,274,808
202,1 17 66 96,4,3.12438,360,808
202,1 18 41 49,4,3.12438,218,808
202,1 18 41 88,4,3.12438,296,808
202,1 18 43 94,4,3.12438,312,808
202,1 18 49 60,4,3.12438,256,808
202,1 19 30 53,4,3.12438,206,808
202,1 19 30 65,4,3.12438,230,808
202,1 20 26 63,4,3.12438,220,808
202,1 20 29 63,4,3.12438,226,808
202,1 20 33 77,4,3.12438,262,808
202,1 20 83 89,4,3.12438,386,808
202,1 21 28 95,4,3.12438,290,808
202,1 22 27 62,4,3.12438,224,808
202,1 22 39 52,4,3.12438,228,808
202,1 22 62 72,4,3.12438,314,808
202,1 23 29 42,4,3.12438,190,808
202,1 23 31 72,4,3.12438,254,808
202,1 24 29 37,4,3.12438,182,808
202,1 24 31 44,4,3.12438,200,808
202,1 25 32 79,4,3.12438,274,808
202,1 25 36 41,4,3.12438,206,808
202,1 25 82 91,4,3.12438,398,808
202,1 26 31 45,4,3.12438,206,808
202,1 26 34 46,4,3.12438,214,808
202,1 26 38 47,4,3.12438,224,808
202,1 27 78 90,4,3.12438,392,808
202,1 29 42 52,4,3.12438,248,808
202,1 30 49 65,4,3.12438,290,808
202,1 30 53 69,4,3.12438,306,808
202,1 31 42 48,4,3.12438,244,808
202,1 32 49 59,4,3.12438,282,808
202,1 33 46 73,4,3.12438,306,808
202,1 34 41 57,4,3.12438,266,808
202,1 36 87 98,4,3.12438,444,808
202,1 39 71 88,4,3.12438,398,808
202,1 40 65 86,4,3.12438,384,808
202,1 40 88 93,4,3.12438,444,808
202,1 42 57 66,4,3.12438,332,808
202,1 42 71 93,4,3.12438,414,808
202,1 43 66 77,4,3.12438,374,808
202,1 54 83 98,4,3.12438,472,808
202,1 58 63 97,4,3.12438,438,808
202,1 60 69 93,4,3.12438,446,808
202,1 61 76 85,4,3.12438,446,808
202,1 61 76 97,4,3.12438,470,808
202,1 61 76 98,4,3.12438,472,808
202,1 63 90 96,4,3.12438,500,808
202,1 65 84 94,4,3.12438,488,808
202,1 69 78 95,4,3.12438,486,808
202,1 69 79 86,4,3.12438,470,808
202,1 71 76 85,4,3.12438,466,808
202,1 72 78 89,4,3.12438,480,808
202,1 73 80 95,4,3.12438,498,808
202,1 73 84 98,4,3.12438,512,808
