Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
29,1 2 3 11,2,1.71429,34,116
29,1 2 4 11,2,1.71429,36,116
29,1 2 7 11,2,1.71429,42,116
29,1 2 7 12,2,1.71429,44,116
29,1 2 8 12,2,1.71429,46,116
29,1 2 8 13,2,1.71429,48,116
29,1 2 9 14,2,1.71429,52,116
29,1 3 5 12,2,1.71429,42,116
29,1 3 7 12,2,1.71429,46,116
29,1 3 8 11,2,1.71429,46,116
29,1 3 8 13,2,1.71429,50,116
29,1 3 11 12,2,1.71429,54,116
29,1 4 5 11,2,1.71429,42,116
29,1 4 6 9,2,1.71429,40,116
29,1 4 6 10,2,1.71429,42,116
29,1 4 6 14,2,1.71429,50,116
29,1 4 8 10,2,1.71429,46,116
29,1 4 8 14,2,1.71429,54,116
29,1 4 10 12,2,1.71429,54,116
29,1 5 6 8,2,1.71429,40,116
29,1 5 7 13,2,1.71429,52,116
29,1 5 8 9,2,1.71429,46,116
29,1 5 8 13,2,1.71429,54,116
29,1 5 9 12,2,1.71429,54,116
29,1 5 9 13,2,1.71429,56,116
29,1 6 7 10,2,1.71429,48,116
29,1 6 9 10,2,1.71429,52,116
29,1 6 9 13,2,1.71429,58,116
29,1 6 11 14,2,1.71429,64,116
29,1 7 10 14,2,1.71429,64,116
29,1 7 11 13,2,1.71429,64,116
29,1 7 12 13,2,1.71429,66,116
29,1 9 11 14,2,1.71429,70,116
29,1 9 13 14,2,1.71429,74,116
