Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
27,1 2 3 10,2,1.69231,32,108
27,1 2 4 10,2,1.69231,34,108
27,1 2 4 11,2,1.69231,36,108
27,1 2 5 13,2,1.69231,42,108
27,1 2 6 8,2,1.69231,34,108
27,1 2 6 11,2,1.69231,40,108
27,1 2 6 12,2,1.69231,42,108
27,1 2 7 8,2,1.69231,36,108
27,1 2 7 10,2,1.69231,40,108
27,1 2 7 11,2,1.69231,42,108
27,1 2 7 12,2,1.69231,44,108
27,1 2 8 11,2,1.69231,44,108
27,1 2 8 13,2,1.69231,48,108
27,1 2 10 11,2,1.69231,48,108
27,1 3 4 13,2,1.69231,42,108
27,1 3 5 10,2,1.69231,38,108
27,1 3 5 12,2,1.69231,42,108
27,1 3 6 11,2,1.69231,42,108
27,1 3 6 13,2,1.69231,46,108
27,1 3 7 8,2,1.69231,38,108
27,1 3 7 11,2,1.69231,44,108
27,1 3 7 12,2,1.69231,46,108
27,1 3 8 11,2,1.69231,46,108
27,1 3 8 13,2,1.69231,50,108
27,1 3 9 11,2,1.69231,48,108
27,1 3 10 11,2,1.69231,50,108
27,1 4 5 7,2,1.69231,34,108
27,1 4 5 8,2,1.69231,36,108
27,1 4 5 10,2,1.69231,40,108
27,1 4 5 12,2,1.69231,44,108
27,1 4 6 8,2,1.69231,38,108
27,1 4 6 10,2,1.69231,42,108
27,1 4 6 12,2,1.69231,46,108
27,1 4 7 11,2,1.69231,46,108
27,1 4 7 13,2,1.69231,50,108
27,1 4 8 10,2,1.69231,46,108
27,1 4 8 13,2,1.69231,52,108
27,1 4 10 11,2,1.69231,52,108
27,1 4 10 12,2,1.69231,54,108
27,1 4 10 13,2,1.69231,56,108
27,1 5 6 8,2,1.69231,40,108
27,1 5 6 9,2,1.69231,42,108
27,1 5 7 8,2,1.69231,42,108
27,1 5 7 10,2,1.69231,46,108
27,1 5 8 10,2,1.69231,48,108
27,1 5 8 11,2,1.69231,50,108
27,1 5 8 12,2,1.69231,52,108
27,1 5 8 13,2,1.69231,54,108
27,1 5 9 12,2,1.69231,54,108
27,1 5 10 13,2,1.69231,58,108
27,1 5 12 13,2,1.69231,62,108
27,1 6 7 10,2,1.69231,48,108
27,1 6 10 13,2,1.69231,60,108
27,1 7 8 11,2,1.69231,54,108
27,1 7 10 11,2,1.69231,58,108
27,1 7 11 12,2,1.69231,62,108
27,1 7 11 13,2,1.69231,64,108
27,1 8 10 13,2,1.69231,64,108
27,1 9 11 12,2,1.69231,66,108
