Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
84,1 4 16 25,3,2.42169,92,336
84,1 4 16 27,3,2.42169,96,336
84,1 4 16 29,3,2.42169,100,336
84,1 4 17 24,3,2.42169,92,336
84,1 4 17 39,3,2.42169,122,336
84,1 4 20 37,3,2.42169,124,336
84,1 4 22 34,3,2.42169,122,336
84,1 5 8 32,3,2.42169,92,336
84,1 5 12 38,3,2.42169,112,336
84,1 5 14 31,3,2.42169,102,336
84,1 5 17 26,3,2.42169,98,336
84,1 5 17 30,3,2.42169,106,336
84,1 5 18 25,3,2.42169,98,336
84,1 5 18 29,3,2.42169,106,336
84,1 5 18 38,3,2.42169,124,336
84,1 5 20 27,3,2.42169,106,336
84,1 5 20 36,3,2.42169,124,336
84,1 5 24 38,3,2.42169,136,336
84,1 5 25 38,3,2.42169,138,336
84,1 5 27 38,3,2.42169,142,336
84,1 5 29 38,3,2.42169,146,336
84,1 6 14 23,3,2.42169,88,336
84,1 6 14 37,3,2.42169,116,336
84,1 6 15 40,3,2.42169,124,336
84,1 6 17 37,3,2.42169,122,336
84,1 6 31 35,3,2.42169,146,336
84,1 7 10 26,3,2.42169,88,336
84,1 7 12 27,3,2.42169,94,336
84,1 7 16 27,3,2.42169,102,336
84,1 7 19 30,3,2.42169,114,336
84,1 7 24 40,3,2.42169,144,336
84,1 7 26 36,3,2.42169,140,336
84,1 8 11 26,3,2.42169,92,336
84,1 8 12 27,3,2.42169,96,336
84,1 8 12 29,3,2.42169,100,336
84,1 8 12 33,3,2.42169,108,336
84,1 8 13 40,3,2.42169,124,336
84,1 8 14 33,3,2.42169,112,336
84,1 8 20 25,3,2.42169,108,336
84,1 8 22 25,3,2.42169,112,336
84,1 8 27 40,3,2.42169,152,336
84,1 8 29 33,3,2.42169,142,336
84,1 8 29 40,3,2.42169,156,336
84,1 8 30 33,3,2.42169,144,336
84,1 8 32 35,3,2.42169,152,336
84,1 9 12 29,3,2.42169,102,336
84,1 9 12 40,3,2.42169,124,336
84,1 9 13 30,3,2.42169,106,336
84,1 9 14 20,3,2.42169,88,336
84,1 9 14 36,3,2.42169,120,336
84,1 9 14 39,3,2.42169,126,336
84,1 9 24 40,3,2.42169,148,336
84,1 10 13 40,3,2.42169,128,336
84,1 10 16 23,3,2.42169,100,336
84,1 10 18 23,3,2.42169,104,336
84,1 10 23 29,3,2.42169,126,336
84,1 10 26 39,3,2.42169,152,336
84,1 10 27 33,3,2.42169,142,336
84,1 10 29 33,3,2.42169,146,336
84,1 10 31 36,3,2.42169,156,336
84,1 11 14 18,3,2.42169,88,336
84,1 11 14 19,3,2.42169,90,336
84,1 11 17 26,3,2.42169,110,336
84,1 11 17 30,3,2.42169,118,336
84,1 11 26 30,3,2.42169,136,336
84,1 11 30 39,3,2.42169,162,336
84,1 12 15 22,3,2.42169,100,336
84,1 12 17 26,3,2.42169,112,336
84,1 12 19 22,3,2.42169,108,336
84,1 12 20 27,3,2.42169,120,336
84,1 12 20 29,3,2.42169,124,336
84,1 12 29 33,3,2.42169,150,336
84,1 13 16 20,3,2.42169,100,336
84,1 13 16 22,3,2.42169,104,336
84,1 13 16 38,3,2.42169,136,336
84,1 13 22 30,3,2.42169,132,336
84,1 13 30 33,3,2.42169,154,336
84,1 13 30 34,3,2.42169,156,336
84,1 13 34 40,3,2.42169,176,336
84,1 14 17 23,3,2.42169,110,336
84,1 14 18 25,3,2.42169,116,336
84,1 14 22 33,3,2.42169,140,336
84,1 14 34 39,3,2.42169,176,336
84,1 15 26 38,3,2.42169,160,336
84,1 16 20 27,3,2.42169,128,336
84,1 16 20 29,3,2.42169,132,336
84,1 16 24 27,3,2.42169,136,336
84,1 16 24 29,3,2.42169,140,336
84,1 16 37 40,3,2.42169,188,336
84,1 17 22 37,3,2.42169,154,336
84,1 17 26 30,3,2.42169,148,336
84,1 17 26 36,3,2.42169,160,336
84,1 17 26 39,3,2.42169,166,336
84,1 17 32 40,3,2.42169,180,336
84,1 18 23 27,3,2.42169,138,336
84,1 18 23 29,3,2.42169,142,336
84,1 20 26 36,3,2.42169,166,336
84,1 20 29 33,3,2.42169,166,336
84,1 20 30 36,3,2.42169,174,336
84,1 22 30 36,3,2.42169,178,336
84,1 24 27 40,3,2.42169,184,336
84,1 24 29 40,3,2.42169,188,336
84,1 24 33 38,3,2.42169,192,336
84,1 26 37 40,3,2.42169,208,336
84,1 27 32 40,3,2.42169,200,336
84,1 27 33 40,3,2.42169,202,336
84,1 29 32 40,3,2.42169,204,336
84,1 29 33 38,3,2.42169,202,336
84,1 30 33 40,3,2.42169,208,336
