Vertices,Gen set,Diameter,Average distance,Bisection width,Connections
42,1 2 3 10 18,2,1.7561,68,210
42,1 2 3 11 18,2,1.7561,70,210
42,1 2 4 10 17,2,1.7561,68,210
42,1 2 4 11 17,2,1.7561,70,210
42,1 2 5 13 20,2,1.7561,82,210
42,1 2 6 8 19,2,1.7561,72,210
42,1 2 7 13 19,2,1.7561,84,210
42,1 2 7 14 18,2,1.7561,84,210
42,1 2 8 13 18,2,1.7561,84,210
42,1 2 8 13 19,2,1.7561,86,210
42,1 2 8 14 19,2,1.7561,88,210
42,1 2 9 15 20,2,1.7561,94,210
42,1 3 4 13 18,2,1.7561,78,210
42,1 3 6 9 20,2,1.7561,78,210
42,1 3 6 10 18,2,1.7561,76,210
42,1 3 6 12 20,2,1.7561,84,210
42,1 3 7 14 19,2,1.7561,88,210
42,1 3 8 11 18,2,1.7561,82,210
42,1 3 8 12 20,2,1.7561,88,210
42,1 3 8 16 20,2,1.7561,96,210
42,1 3 9 15 20,2,1.7561,96,210
42,1 3 10 13 18,2,1.7561,90,210
42,1 3 10 15 18,2,1.7561,94,210
42,1 3 10 17 20,2,1.7561,102,210
42,1 3 12 15 20,2,1.7561,102,210
42,1 4 5 7 20,2,1.7561,74,210
42,1 4 6 10 17,2,1.7561,76,210
42,1 4 6 15 19,2,1.7561,90,210
42,1 4 7 10 20,2,1.7561,84,210
42,1 4 7 14 16,2,1.7561,84,210
42,1 4 7 16 17,2,1.7561,90,210
42,1 4 7 16 20,2,1.7561,96,210
42,1 4 8 11 17,2,1.7561,82,210
42,1 4 8 13 19,2,1.7561,90,210
42,1 4 10 11 13,2,1.7561,78,210
42,1 4 10 13 17,2,1.7561,90,210
42,1 4 10 15 17,2,1.7561,94,210
42,1 4 10 17 20,2,1.7561,104,210
42,1 4 11 14 20,2,1.7561,100,210
42,1 4 11 17 20,2,1.7561,106,210
42,1 4 11 18 20,2,1.7561,108,210
42,1 4 15 17 18,2,1.7561,110,210
42,1 5 6 9 20,2,1.7561,82,210
42,1 5 7 11 14,2,1.7561,76,210
42,1 5 7 13 16,2,1.7561,84,210
42,1 5 7 14 17,2,1.7561,88,210
42,1 5 8 9 20,2,1.7561,86,210
42,1 5 8 10 20,2,1.7561,88,210
42,1 5 8 12 20,2,1.7561,92,210
42,1 5 8 14 16,2,1.7561,88,210
42,1 5 8 15 16,2,1.7561,90,210
42,1 5 8 16 20,2,1.7561,100,210
42,1 5 8 19 20,2,1.7561,106,210
42,1 5 10 13 20,2,1.7561,98,210
42,1 5 13 16 20,2,1.7561,110,210
42,1 6 9 12 13,2,1.7561,82,210
42,1 6 9 16 20,2,1.7561,104,210
42,1 6 9 18 20,2,1.7561,108,210
42,1 6 9 19 20,2,1.7561,110,210
42,1 6 15 16 19,2,1.7561,114,210
42,1 7 8 9 12,2,1.7561,74,210
42,1 7 9 11 14,2,1.7561,84,210
42,1 7 10 12 14,2,1.7561,88,210
42,1 7 10 14 19,2,1.7561,102,210
42,1 7 11 14 16,2,1.7561,98,210
42,1 7 11 14 19,2,1.7561,104,210
42,1 7 11 17 20,2,1.7561,112,210
42,1 7 14 17 19,2,1.7561,116,210
42,1 8 9 12 14,2,1.7561,88,210
42,1 8 13 16 19,2,1.7561,114,210
42,1 9 15 18 20,2,1.7561,126,210
42,1 10 11 15 18,2,1.7561,110,210
42,1 10 14 17 20,2,1.7561,124,210
42,1 12 15 18 20,2,1.7561,132,210
42,1 13 16 18 20,2,1.7561,136,210
42,2 3 4 9 19,2,1.7561,74,210
42,2 3 5 7 18,2,1.7561,70,210
42,2 3 5 14 18,2,1.7561,84,210
42,2 3 5 16 17,2,1.7561,86,210
42,2 3 6 9 19,2,1.7561,78,210
42,2 3 6 12 19,2,1.7561,84,210
42,2 3 7 14 20,2,1.7561,92,210
42,2 3 8 13 20,2,1.7561,92,210
42,2 3 9 12 17,2,1.7561,86,210
42,2 3 9 15 19,2,1.7561,96,210
42,2 3 9 16 18,2,1.7561,96,210
42,2 3 10 12 19,2,1.7561,92,210
42,2 3 11 12 19,2,1.7561,94,210
42,2 3 11 16 19,2,1.7561,102,210
42,2 3 12 15 19,2,1.7561,102,210
42,2 3 12 17 19,2,1.7561,106,210
42,2 4 5 9 17,2,1.7561,74,210
42,2 4 5 11 19,2,1.7561,82,210
42,2 4 5 14 17,2,1.7561,84,210
42,2 4 5 15 16,2,1.7561,84,210
42,2 4 5 16 17,2,1.7561,88,210
42,2 4 7 14 15,2,1.7561,84,210
42,2 4 7 16 17,2,1.7561,92,210
42,2 5 6 10 19,2,1.7561,84,210
42,2 5 6 13 15,2,1.7561,82,210
42,2 5 8 16 17,2,1.7561,96,210
42,2 5 10 11 12,2,1.7561,80,210
42,2 5 10 11 14,2,1.7561,84,210
42,2 5 10 11 19,2,1.7561,94,210
42,2 5 11 16 17,2,1.7561,102,210
42,2 5 11 19 20,2,1.7561,114,210
42,2 5 15 16 18,2,1.7561,112,210
42,2 5 16 17 18,2,1.7561,116,210
42,2 6 7 14 17,2,1.7561,92,210
42,2 6 8 9 13,2,1.7561,76,210
42,2 6 9 18 19,2,1.7561,108,210
42,2 7 8 10 11,2,1.7561,76,210
42,2 7 8 10 13,2,1.7561,80,210
42,2 7 8 10 19,2,1.7561,92,210
42,2 7 8 11 14,2,1.7561,84,210
42,2 7 8 11 19,2,1.7561,94,210
42,2 7 8 19 20,2,1.7561,112,210
42,2 7 10 11 13,2,1.7561,86,210
42,2 7 10 11 16,2,1.7561,92,210
42,2 7 10 13 14,2,1.7561,92,210
42,2 7 13 14 17,2,1.7561,106,210
42,2 8 9 12 17,2,1.7561,96,210
42,2 8 13 19 20,2,1.7561,124,210
42,2 9 11 12 17,2,1.7561,102,210
42,2 9 12 17 18,2,1.7561,116,210
42,2 9 15 18 19,2,1.7561,126,210
42,2 10 11 16 19,2,1.7561,116,210
42,2 10 15 16 19,2,1.7561,124,210
42,2 11 16 17 19,2,1.7561,130,210
42,2 11 16 18 19,2,1.7561,132,210
42,2 11 16 19 20,2,1.7561,136,210
42,2 12 15 18 19,2,1.7561,132,210
42,2 13 14 19 20,2,1.7561,136,210
42,2 13 15 19 20,2,1.7561,138,210
42,2 15 16 18 19,2,1.7561,140,210
42,3 4 5 12 16,2,1.7561,80,210
42,3 4 6 9 17,2,1.7561,78,210
42,3 4 6 10 15,2,1.7561,76,210
42,3 4 6 12 17,2,1.7561,84,210
42,3 4 6 13 18,2,1.7561,88,210
42,3 4 8 11 13,2,1.7561,78,210
42,3 4 8 15 17,2,1.7561,94,210
42,3 4 9 15 17,2,1.7561,96,210
42,3 4 12 15 17,2,1.7561,102,210
42,3 4 13 15 18,2,1.7561,106,210
42,3 4 13 16 18,2,1.7561,108,210
42,3 5 6 9 16,2,1.7561,78,210
42,3 5 6 12 16,2,1.7561,84,210
42,3 5 7 13 14,2,1.7561,84,210
42,3 5 9 10 16,2,1.7561,86,210
42,3 5 9 15 16,2,1.7561,96,210
42,3 5 11 12 16,2,1.7561,94,210
42,3 5 12 15 16,2,1.7561,102,210
42,3 5 12 16 17,2,1.7561,106,210
42,3 5 12 18 19,2,1.7561,114,210
42,3 6 7 9 14,2,1.7561,78,210
42,3 6 7 12 14,2,1.7561,84,210
42,3 6 8 9 13,2,1.7561,78,210
42,3 6 8 12 13,2,1.7561,84,210
42,3 6 9 10 11,2,1.7561,78,210
42,3 6 10 11 12,2,1.7561,84,210
42,3 7 8 14 16,2,1.7561,96,210
42,3 7 9 14 15,2,1.7561,96,210
42,3 7 12 14 15,2,1.7561,102,210
42,3 7 16 18 19,2,1.7561,126,210
42,3 8 9 13 15,2,1.7561,96,210
42,3 8 12 13 15,2,1.7561,102,210
42,3 8 12 13 20,2,1.7561,112,210
42,3 9 10 11 15,2,1.7561,96,210
42,3 9 11 12 16,2,1.7561,102,210
42,3 10 11 12 15,2,1.7561,102,210
42,3 10 11 15 20,2,1.7561,118,210
42,3 13 16 17 18,2,1.7561,134,210
42,3 13 17 18 20,2,1.7561,142,210
42,3 14 16 18 19,2,1.7561,140,210
42,4 5 6 16 19,2,1.7561,100,210
42,4 5 7 13 14,2,1.7561,86,210
42,4 5 7 14 20,2,1.7561,100,210
42,4 5 7 16 20,2,1.7561,104,210
42,4 5 7 17 19,2,1.7561,104,210
42,4 5 9 11 12,2,1.7561,82,210
42,4 5 16 17 19,2,1.7561,122,210
42,4 6 7 11 15,2,1.7561,86,210
42,4 6 7 14 19,2,1.7561,100,210
42,4 6 9 10 11,2,1.7561,80,210
42,4 6 9 10 17,2,1.7561,92,210
42,4 6 9 17 18,2,1.7561,108,210
